fields,id,source
"{'id': ['RF00483'], 'description': ['Insulin-like growth factor II IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['9'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00483,rfam
"{'id': ['RF00457'], 'description': ['Mnt IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['21'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00457,rfam
"{'id': ['RF02531'], 'description': ['Nrf2 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['20'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF02531,rfam
"{'id': ['RF00449'], 'description': ['HIF-1 alpha IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['17'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00449,rfam
"{'id': ['RF00261'], 'description': ['L-myc internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['11'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00261,rfam
"{'id': ['RF00461'], 'description': ['Vascular endothelial growth factor (VEGF) IRES A'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['7'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00461,rfam
"{'id': ['CM001004.3_74721955_74722157'], 'description': ['Mus musculus IRES_mnt'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001004.3'], 'rfamseq_acc_description': ['CM001004.3 Mus musculus chromosome 11, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['74721955'], 'seq_end': ['74722157'], 'ENA': ['CM001004'], 'RFAM': ['RF00457']}",CM001004.3_74721955_74722157,rfam
"{'id': ['CM001006.3_58956225_58956532'], 'description': ['Mus musculus IRES_TrkB'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001006.3'], 'rfamseq_acc_description': ['CM001006.3 Mus musculus chromosome 13, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['58956225'], 'seq_end': ['58956532'], 'ENA': ['CM001006'], 'RFAM': ['RF00547']}",CM001006.3_58956225_58956532,rfam
"{'id': ['CM001008.3_79898989_79898383'], 'description': ['Mus musculus IRES_c-sis'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001008.3'], 'rfamseq_acc_description': ['CM001008.3 Mus musculus chromosome 15, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['79898989'], 'seq_end': ['79898383'], 'ENA': ['CM001008'], 'RFAM': ['RF00549']}",CM001008.3_79898989_79898383,rfam
"{'id': ['CM000997.3_40948223_40947846'], 'description': ['Mus musculus IRES_Bag1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000997.3'], 'rfamseq_acc_description': ['CM000997.3 Mus musculus chromosome 4, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['40948223'], 'seq_end': ['40947846'], 'ENA': ['CM000997'], 'RFAM': ['RF00222']}",CM000997.3_40948223_40947846,rfam
"{'id': ['CM000997.3_122889735_122889956'], 'description': ['Mus musculus IRES_L-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000997.3'], 'rfamseq_acc_description': ['CM000997.3 Mus musculus chromosome 4, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['122889735'], 'seq_end': ['122889956'], 'ENA': ['CM000997'], 'RFAM': ['RF00261']}",CM000997.3_122889735_122889956,rfam
"{'id': ['CM001013.3_159687117_159686931'], 'description': ['Mus musculus IRES_Cx43'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001013.3'], 'rfamseq_acc_description': ['CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['159687117'], 'seq_end': ['159686931'], 'ENA': ['CM001013'], 'RFAM': ['RF00487']}",CM001013.3_159687117_159686931,rfam
"{'id': ['CM001010.3_46342573_46342268'], 'description': ['Mus musculus IRES_VEGF_A'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001010.3'], 'rfamseq_acc_description': ['CM001010.3 Mus musculus chromosome 17, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['46342573'], 'seq_end': ['46342268'], 'ENA': ['CM001010'], 'RFAM': ['RF00461']}",CM001010.3_46342573_46342268,rfam
"{'id': ['CM001011.3_39062328_39062167'], 'description': ['Mus musculus IRES_FGF1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001011.3'], 'rfamseq_acc_description': ['CM001011.3 Mus musculus chromosome 18, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['39062328'], 'seq_end': ['39062167'], 'ENA': ['CM001011'], 'RFAM': ['RF00387']}",CM001011.3_39062328_39062167,rfam
"{'id': ['CM000995.3_34662106_34662369'], 'description': ['Mus musculus IRES_Bip'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000995.3'], 'rfamseq_acc_description': ['Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['34662106'], 'seq_end': ['34662369'], 'ENA': ['CM000995'], 'RFAM': ['RF00223']}",CM000995.3_34662106_34662369,rfam
"{'id': ['CM000995.3_75534824_75534708'], 'description': ['Mus musculus NRF2_IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000995.3'], 'rfamseq_acc_description': ['Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['75534824'], 'seq_end': ['75534708'], 'ENA': ['CM000995'], 'RFAM': ['RF02531']}",CM000995.3_75534824_75534708,rfam
"{'id': ['CM000995.3_107125011_107125270'], 'description': ['Mus musculus IRES_Kv1_4'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000995.3'], 'rfamseq_acc_description': ['Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['107125011'], 'seq_end': ['107125270'], 'ENA': ['CM000995'], 'RFAM': ['RF00447']}",CM000995.3_107125011_107125270,rfam
"{'id': ['CM001000.3_142214878_142214758'], 'description': ['Mus musculus IRES_IGF2'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001000.3'], 'rfamseq_acc_description': ['CM001000.3 Mus musculus chromosome 7, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['142214878'], 'seq_end': ['142214758'], 'ENA': ['CM001000'], 'RFAM': ['RF00483']}",CM001000.3_142214878_142214758,rfam
"{'id': ['CM001013.3_100427320_100427468'], 'description': ['Mus musculus IRES_Cx32'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001013.3'], 'rfamseq_acc_description': ['CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['100427320'], 'seq_end': ['100427468'], 'ENA': ['CM001013'], 'RFAM': ['RF00484']}",CM001013.3_100427320_100427468,rfam
"{'id': ['CM001005.3_73954790_73955066'], 'description': ['Mus musculus IRES_HIF1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001005.3'], 'rfamseq_acc_description': ['CM001005.3 Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['73954790'], 'seq_end': ['73955066'], 'ENA': ['CM001005'], 'RFAM': ['RF00449']}",CM001005.3_73954790_73955066,rfam
"{'id': ['CM001003.3_56253427_56253630'], 'description': ['Mus musculus IRES_Cx43'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001003.3'], 'rfamseq_acc_description': ['CM001003.3 Mus musculus chromosome 10, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['56253427'], 'seq_end': ['56253630'], 'ENA': ['CM001003'], 'RFAM': ['RF00487']}",CM001003.3_56253427_56253630,rfam
"{'id': ['CM001013.3_5381376_5381052'], 'description': ['Mus musculus IRES_n-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001013.3'], 'rfamseq_acc_description': ['CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['5381376'], 'seq_end': ['5381052'], 'ENA': ['CM001013'], 'RFAM': ['RF00226']}",CM001013.3_5381376_5381052,rfam
"{'id': ['CM001005.3_12991823_12991620'], 'description': ['Mus musculus IRES_n-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001005.3'], 'rfamseq_acc_description': ['CM001005.3 Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['12991823'], 'seq_end': ['12991620'], 'ENA': ['CM001005'], 'RFAM': ['RF00226']}",CM001005.3_12991823_12991620,rfam
"{'id': ['CM001008.3_61857412_61857722'], 'description': ['Mus musculus IRES_c-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001008.3'], 'rfamseq_acc_description': ['CM001008.3 Mus musculus chromosome 15, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['61857412'], 'seq_end': ['61857722'], 'ENA': ['CM001008'], 'RFAM': ['RF00216']}",CM001008.3_61857412_61857722,rfam
"{'id': ['CM001005.3_12990637_12990368'], 'description': ['Mus musculus IRES_n-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM001005.3'], 'rfamseq_acc_description': ['CM001005.3 Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J'], 'scientific_name': ['Mus musculus'], 'num_seed': [], 'seq_start': ['12990637'], 'seq_end': ['12990368'], 'ENA': ['CM001005'], 'RFAM': ['RF00226']}",CM001005.3_12990637_12990368,rfam
